"name" "size" "coverage" "circular" "gc_content" "hit_to_vir_refseq" "hit_to_crasslike" "demovir" "vir_refseq" "crasslike" "ribo_prot_count" "pvogs_count" "integrase" "sample" "country" "vcontact_cluster" "crispr_host"
"1" "ERR589358_NODE_21_length_272451_cov_7.53123" 272451 7.53123 FALSE 59.37 FALSE FALSE "Myoviridae" NA NA 1 52 FALSE "ERR589358" "China" "VC_6935_5" "Actinomyces"
"2" "ERR589366_NODE_2_length_252267_cov_5.86855" 252267 5.86855 FALSE 37.21 FALSE FALSE "Myoviridae" NA NA 0 94 FALSE "ERR589366" "China" "VC_1419_6" NA
"3" "ERR589368_NODE_8_length_248669_cov_11.6464" 248669 11.6464 FALSE 41.5 FALSE FALSE "Unassigned" NA NA 1 64 FALSE "ERR589368" "China" "VC_6375_0" "Propionibacterium"
"4" "ERR589374_NODE_1_length_250771_cov_7.48575" 250771 7.48575 TRUE 39.7 FALSE FALSE "Myoviridae" NA NA 0 85 FALSE "ERR589374" "China" NA NA
"5" "ERR589375_NODE_6_length_313876_cov_8.79121" 313876 8.79121 FALSE 55.49 FALSE FALSE "Myoviridae" NA NA 1 60 FALSE "ERR589375" "China" NA "Actinomyces"
"6" "ERR589382_NODE_7_length_242330_cov_4.50236" 242330 4.50236 FALSE 29.11 FALSE FALSE "Myoviridae" NA NA 0 75 TRUE "ERR589382" "China" NA NA
"7" "ERR589382_NODE_10_length_205933_cov_3.86547" 205933 3.86547 FALSE 38.22 FALSE FALSE "Siphoviridae" NA NA 0 35 FALSE "ERR589382" "China" "" NA
"8" "ERR589386_NODE_2_length_270926_cov_4.48054" 270926 4.48054 FALSE 34.48 FALSE FALSE "Siphoviridae" NA NA 0 70 TRUE "ERR589386" "China" "" NA
"9" "ERR589386_NODE_3_length_247840_cov_12.22" 247840 12.22 TRUE 34.99 FALSE FALSE "Myoviridae" NA NA 0 99 FALSE "ERR589386" "China" "VC_1419_0" NA
"10" "ERR589388_NODE_2_length_264863_cov_103.332" 264863 103.332 FALSE 60.1 FALSE FALSE "Siphoviridae" NA NA 1 64 FALSE "ERR589388" "China" NA "Atopobium"
"11" "ERR589390_NODE_5_length_254595_cov_11.1926" 254595 11.1926 TRUE 34.9 FALSE FALSE "Myoviridae" NA NA 0 99 FALSE "ERR589390" "China" "VC_1419_0" NA
"12" "ERR589392_NODE_1_length_245215_cov_40.5755" 245215 40.5755 FALSE 36.93 FALSE FALSE "Myoviridae" NA NA 0 50 TRUE "ERR589392" "China" NA "Streptococcus"
"13" "ERR589400_NODE_2_length_222094_cov_17.9067" 222094 17.9067 FALSE 33.72 FALSE FALSE "Myoviridae" NA NA 0 78 FALSE "ERR589400" "China" "VC_3541_1" NA
"14" "ERR589402_NODE_3_length_227434_cov_16.57" 227434 16.57 FALSE 32.94 FALSE FALSE "Siphoviridae" NA NA 0 30 FALSE "ERR589402" "China" "VC_3157_5" "Streptococcus"
"15" "ERR589402_NODE_4_length_224752_cov_15.4809" 224752 15.4809 FALSE 26.42 FALSE FALSE "Myoviridae" NA NA 0 39 FALSE "ERR589402" "China" NA NA
"16" "ERR589406_NODE_1_length_277817_cov_15.1368" 277817 15.1368 FALSE 59.41 FALSE FALSE "Myoviridae" NA NA 1 50 FALSE "ERR589406" "China" "VC_6935_5" "Atopobium"
"17" "ERR589416_NODE_3_length_266654_cov_11.279" 266654 11.279 FALSE 33.48 FALSE FALSE "Myoviridae" NA NA 0 44 FALSE "ERR589416" "China" "VC_4224_3" "Veillonella"
"18" "ERR589416_NODE_4_length_240984_cov_25.2573" 240984 25.2573 FALSE 60.18 FALSE FALSE "Siphoviridae" NA NA 1 57 FALSE "ERR589416" "China" "VC_6935_0" "Atopobium"
"19" "ERR589418_NODE_1_length_280502_cov_6.15254" 280502 6.15254 FALSE 39.6 FALSE FALSE "Unassigned" NA NA 0 57 TRUE "ERR589418" "China" "" "Streptococcus"
"20" "ERR589418_NODE_2_length_253972_cov_14.627" 253972 14.627 FALSE 34.89 FALSE FALSE "Myoviridae" NA NA 0 100 FALSE "ERR589418" "China" "VC_1419_0" NA
"21" "ERR589418_NODE_3_length_253054_cov_15.5374" 253054 15.5374 FALSE 37.11 FALSE FALSE "Myoviridae" NA NA 0 96 FALSE "ERR589418" "China" "VC_1419_6" NA
"22" "ERR589420_NODE_2_length_302575_cov_14.3112" 302575 14.3112 FALSE 32.18 FALSE FALSE "Myoviridae" NA NA 0 62 TRUE "ERR589420" "China" NA "Prevotella"
"23" "ERR589420_NODE_6_length_229992_cov_13.7426" 229992 13.7426 TRUE 31.65 FALSE FALSE "Myoviridae" NA NA 0 56 FALSE "ERR589420" "China" NA NA
"24" "ERR589420_NODE_7_length_223764_cov_19.844" 223764 19.844 FALSE 25.84 FALSE FALSE "Myoviridae" NA NA 0 36 FALSE "ERR589420" "China" NA NA
"25" "ERR589420_NODE_11_length_203503_cov_92.1356" 203503 92.1356 TRUE 31.51 FALSE FALSE "Myoviridae" NA NA 0 66 FALSE "ERR589420" "China" "VC_240_3" NA
"26" "ERR589420_NODE_12_length_203291_cov_5.79902" 203291 5.79902 FALSE 30.2 FALSE FALSE "Myoviridae" NA NA 1 56 FALSE "ERR589420" "China" NA "Veillonella"
"27" "ERR589424_NODE_2_length_324483_cov_6.01765" 324483 6.01765 FALSE 34.77 FALSE FALSE "Myoviridae" NA NA 0 59 TRUE "ERR589424" "China" "VC_7832_9" "Prevotella"
"28" "ERR589426_NODE_9_length_251068_cov_11.4182" 251068 11.4182 FALSE 37.22 FALSE FALSE "Myoviridae" NA NA 0 94 FALSE "ERR589426" "China" "VC_1419_6" NA
"29" "ERR589426_NODE_11_length_235074_cov_32.5489" 235074 32.5489 TRUE 33.8 FALSE FALSE "Myoviridae" NA NA 0 87 FALSE "ERR589426" "China" "VC_3541_1" NA
"30" "ERR589428_NODE_4_length_208092_cov_24.4664" 208092 24.4664 FALSE 33.86 FALSE FALSE "Siphoviridae" NA NA 0 38 TRUE "ERR589428" "China" NA "Streptococcus"
"31" "ERR589432_NODE_7_length_289320_cov_32.597" 289320 32.597 FALSE 29.52 FALSE FALSE "Myoviridae" NA NA 0 79 TRUE "ERR589432" "China" NA "Streptococcus"
"32" "ERR589432_NODE_16_length_215843_cov_9.61145" 215843 9.61145 FALSE 39.33 FALSE FALSE "Myoviridae" NA NA 0 76 FALSE "ERR589432" "China" "VC_2385_1" NA
"33" "ERR589435_NODE_4_length_231149_cov_5.64811" 231149 5.64811 FALSE 35.75 FALSE FALSE "Myoviridae" NA NA 0 58 FALSE "ERR589435" "China" "VC_1671_4" NA
"34" "ERR589436_NODE_2_length_282553_cov_22.9348" 282553 22.9348 FALSE 53.33 FALSE FALSE "Siphoviridae" NA NA 0 33 FALSE "ERR589436" "China" "" NA
"35" "ERR589436_NODE_4_length_223947_cov_7.56151" 223947 7.56151 FALSE 33.44 FALSE FALSE "Siphoviridae" NA NA 0 34 FALSE "ERR589436" "China" NA NA
"36" "ERR589440_NODE_6_length_346819_cov_11.3658" 346819 11.3658 FALSE 41.33 FALSE FALSE "Myoviridae" NA NA 0 73 TRUE "ERR589440" "China" NA NA
"37" "ERR589450_NODE_1_length_351681_cov_5.16254" 351681 5.16254 FALSE 55.56 FALSE FALSE "Myoviridae" NA NA 1 62 TRUE "ERR589450" "China" "" "Actinomyces"
"38" "ERR589450_NODE_4_length_248605_cov_22.8517" 248605 22.8517 FALSE 35 FALSE FALSE "Myoviridae" NA NA 0 96 FALSE "ERR589450" "China" "VC_1419_0" NA
"39" "ERR589450_NODE_5_length_232074_cov_25.7624" 232074 25.7624 FALSE 42.35 FALSE FALSE "Myoviridae" NA NA 0 77 FALSE "ERR589450" "China" "" NA
"40" "ERR589460_NODE_10_length_250578_cov_12.1743" 250578 12.1743 FALSE 36.89 FALSE FALSE "Myoviridae" NA NA 0 50 TRUE "ERR589460" "China" NA "Streptococcus"
"41" "ERR589461_NODE_5_length_267868_cov_15.7799" 267868 15.7799 FALSE 33.49 FALSE FALSE "Myoviridae" NA NA 0 43 FALSE "ERR589461" "China" "VC_4224_3" "Veillonella"
"42" "ERR589467_NODE_6_length_268899_cov_7.11059" 268899 7.11059 FALSE 55.81 FALSE FALSE "Myoviridae" NA NA 1 53 FALSE "ERR589467" "China" "" "Actinomyces"
